Season,Year,Month,Day,Species,Count,Lat,Long,TOD,ToD_Day,Platform,ID,FlightNumber
1,2013,5,9,BW,3,61.19363889,-150.3569167,13:37:23,0.5676273148,Aerial,2013_5_9,1
1,2013,5,9,HS,2,61.19336111,-150.67525,13:57:33,0.5816319444,Aerial,2013_5_9,1
1,2013,5,9,HS,3,61.19225,-150.6618056,13:57:54,0.5818750000,Aerial,2013_5_9,1
1,2013,5,9,HS,1,61.19047222,-150.7288889,14:01:13,0.5841782407,Aerial,2013_5_9,1
1,2013,5,9,BW,5,61.19033333,-150.7450833,14:01:35,0.5844328704,Aerial,2013_5_9,1
1,2013,5,9,BW,1,61.18925,-150.66925,13:55:07,0.5799421296,Aerial,2013_5_9,1
1,2013,5,9,HS,3,61.18908333,-150.6020833,13:51:58,0.5777546296,Aerial,2013_5_9,1
1,2013,5,9,HS,1,61.18855556,-150.664,13:56:07,0.5806365741,Aerial,2013_5_9,1
1,2013,5,9,BW,3,61.18027778,-150.6131389,13:49:16,0.5758796296,Aerial,2013_5_9,1
1,2013,5,9,BW,3,61.11627778,-151.0691389,14:16:34,0.5948379630,Aerial,2013_5_9,1
1,2013,5,9,BW,6,61.04505556,-151.1626389,14:20:08,0.5973148148,Aerial,2013_5_9,1
1,2013,5,9,BW,1,61.03611111,-150.4396111,15:27:59,0.6444328704,Aerial,2013_5_9,1
1,2013,5,9,BW,5,61.01727778,-150.4685556,15:24:44,0.6421759259,Aerial,2013_5_9,1
1,2013,5,9,BW,2,60.99616667,-150.2634167,15:31:18,0.6467361111,Aerial,2013_5_9,1
2,2013,5,19,HS,10,61.22163889,-150.8255833,11:29:06,0.4785416667,Aerial,2013_5_19,2
2,2013,5,19,BW,1,61.21116387,-150.8107737,11:27:33,0.4774652778,Aerial,2013_5_19,2
2,2013,5,19,BW,5,61.21113945,-150.4027613,11:14:46,0.4685879630,Aerial,2013_5_19,2
2,2013,5,19,BW,8,61.12301871,-151.0778201,11:35:52,0.4832407407,Aerial,2013_5_19,2
2,2013,5,19,BW,4,61.03234517,-150.3403821,12:32:39,0.5226736111,Aerial,2013_5_19,2
2,2013,5,19,HP,3,61.03085043,-150.351785,12:32:07,0.5223032407,Aerial,2013_5_19,2
2,2013,5,24,BW,22,61.18363099,-150.4333152,11:25:14,0.4758564815,Aerial,2013_5_24,3
2,2013,5,24,BW,4,61.18013292,-150.5843978,11:30:30,0.4795138889,Aerial,2013_5_24,3
2,2013,5,24,BW,8,61.16905866,-150.9725669,11:37:45,0.4845486111,Aerial,2013_5_24,3
2,2013,5,24,BW,1,61.02478373,-150.5115539,12:27:30,0.5190972222,Aerial,2013_5_24,3
2,2013,5,24,BW,5,61.01220867,-150.5695478,12:25:59,0.5180439815,Aerial,2013_5_24,3
2,2013,5,24,HS,4,60.78483101,-151.175192,12:11:38,0.5080787037,Aerial,2013_5_24,3
2,2013,5,31,BW,53,61.26121028,-150.3145048,12:23:10,0.5160879630,Aerial,2013_5_31,4
2,2013,5,31,HS,30,61.23168384,-150.8078307,11:39:32,0.4857870370,Aerial,2013_5_31,4
2,2013,5,31,HS,50,61.21746112,-150.8505969,11:40:39,0.4865625000,Aerial,2013_5_31,4
2,2013,5,31,HS,5,61.20088827,-150.9396363,11:42:35,0.4879050926,Aerial,2013_5_31,4
2,2013,6,7,BW,90,61.22863129,-150.2452499,11:11:58,0.4666435185,Aerial,2013_6_7,5
2,2013,6,7,HS,75,61.18943924,-150.5824992,11:27:49,0.4776504630,Aerial,2013_6_7,5
2,2013,6,7,HS,15,61.18727786,-150.4568511,11:25:35,0.4760995370,Aerial,2013_6_7,5
2,2013,6,7,HS,250,61.18381397,-150.5105427,11:26:34,0.4767824074,Aerial,2013_6_7,5
2,2013,6,7,BW,12,61.00872481,-150.2889264,12:35:05,0.5243634259,Aerial,2013_6_7,5
2,2013,6,7,BW,22,61.00670061,-150.2825732,12:33:22,0.5231712963,Aerial,2013_6_7,5
2,2013,6,14,BW,67,61.23773895,-150.4824866,12:19:01,0.5132060185,Aerial,2013_6_14,6
2,2013,6,14,HS,75,61.22898562,-150.7848265,12:31:52,0.5221296296,Aerial,2013_6_14,6
2,2013,6,14,BW,25,61.2283713,-150.7609623,12:31:05,0.5215856481,Aerial,2013_6_14,6
2,2013,6,14,BW,35,61.21976563,-150.7973557,12:34:51,0.5242013889,Aerial,2013_6_14,6
2,2013,6,14,HS,150,61.21239263,-150.8142075,12:35:50,0.5248842593,Aerial,2013_6_14,6
2,2013,6,14,BW,1,61.1825,-150.9190556,12:41:22,0.5287268519,Aerial,2013_6_14,6
2,2013,6,20,HS,18,61.2343714,-150.7894652,15:39:34,0.6524768519,Aerial,2013_6_20,-999
2,2013,6,20,HS,3,61.21945272,-150.8252324,15:40:59,0.6534606481,Aerial,2013_6_20,-999
2,2013,6,20,HS,5,61.2113563,-150.8485477,15:41:17,0.6536689815,Aerial,2013_6_20,-999
2,2013,6,20,BW,1,60.9733583,-150.2415007,16:38:04,0.6931018519,Aerial,2013_6_20,-999
2,2013,6,20,BW,10,60.94487106,-150.2059001,16:43:07,0.6966087963,Aerial,2013_6_20,-999
3,2013,7,1,BW,1,61.26141138,-150.6294437,13:49:29,0.5760300926,Aerial,2013_7_1,-999
3,2013,7,1,BW,5,61.23990285,-150.7197014,13:55:30,0.5802083333,Aerial,2013_7_1,-999
3,2013,7,1,BW,10,61.226675,-150.8174889,14:00:18,0.5835416667,Aerial,2013_7_1,-999
3,2013,7,1,BW,4,61.22142643,-150.8082719,14:00:45,0.5838541667,Aerial,2013_7_1,-999
3,2013,7,1,HS,12,61.21546011,-150.7958746,13:58:47,0.5824884259,Aerial,2013_7_1,-999
3,2013,7,1,HS,120,61.20085551,-150.8443857,14:01:46,0.5845601852,Aerial,2013_7_1,-999
3,2013,7,1,BW,8,61.13359507,-151.0294236,14:06:23,0.5877662037,Aerial,2013_7_1,-999
3,2013,7,1,BW,3,60.9347756,-150.066691,15:10:13,0.6320949074,Aerial,2013_7_1,-999
3,2013,7,1,HS,1,60.87273779,-151.7078213,14:25:33,0.6010763889,Aerial,2013_7_1,-999
3,2013,7,9,BW,15,61.1935242,-150.8222028,13:42:45,0.5713541667,Aerial,2013_7_9,8
3,2013,7,9,BW,35,61.18988574,-150.4358193,13:31:41,0.5636689815,Aerial,2013_7_9,8
3,2013,7,9,HS,60,61.18520077,-150.5039253,13:33:02,0.5646064815,Aerial,2013_7_9,8
3,2013,7,9,BW,70,61.18503259,-150.6194433,13:35:00,0.5659722222,Aerial,2013_7_9,8
3,2013,7,9,BW,6,61.17463571,-150.870785,13:47:13,0.5744560185,Aerial,2013_7_9,8
3,2013,7,13,BW,10,61.26262216,-150.6816167,10:08:20,0.4224537037,Aerial,2013_7_13,9
3,2013,7,13,BW,1,61.2521233,-150.6096508,10:07:02,0.4215509259,Aerial,2013_7_13,9
3,2013,7,13,BW,5,61.23380403,-150.7937089,10:13:23,0.4259606481,Aerial,2013_7_13,9
3,2013,7,13,HS,50,61.23010687,-150.8027452,10:16:36,0.4281944444,Aerial,2013_7_13,9
3,2013,7,13,BW,4,61.19595378,-150.9551589,10:20:00,0.4305555556,Aerial,2013_7_13,9
3,2013,7,13,BW,8,60.90706189,-150.071287,11:23:11,0.4744328704,Aerial,2013_7_13,9
3,2013,7,19,BW,15,61.26325285,-150.5694426,15:37:20,0.6509259259,Aerial,2013_7_19,10
3,2013,7,19,BW,20,60.91703046,-150.0646191,16:48:05,0.7000578704,Aerial,2013_7_19,10
3,2013,7,19,HS,20,60.90479445,-151.7051082,16:07:32,0.6718981481,Aerial,2013_7_19,10
3,2013,7,24,BW,20,61.24331712,-150.5004183,10:35:26,0.4412731481,Aerial,2013_7_24,10
3,2013,7,24,BW,12,61.23719469,-150.4942902,10:34:59,0.4409606481,Aerial,2013_7_24,10
3,2013,7,24,BW,35,61.23000954,-150.7863357,10:44:56,0.4478703704,Aerial,2013_7_24,10
3,2013,7,24,HS,6,60.5435486,-151.3098835,11:29:32,0.4788425926,Aerial,2013_7_24,10
3,2013,7,31,BW,4,61.23015195,-150.5205931,13:48:53,0.5756134259,Aerial,2013_7_31,11
3,2013,7,31,BW,22,61.22806511,-150.6405932,13:53:17,0.5786689815,Aerial,2013_7_31,11
3,2013,7,31,BW,2,61.22648613,-150.4894546,13:44:15,0.5723958333,Aerial,2013_7_31,11
3,2013,7,31,BW,10,61.2261567,-150.5609181,13:51:54,0.5777083333,Aerial,2013_7_31,11
3,2013,8,7,HS,18,61.24883305,-150.6296553,13:42:06,0.5709027778,Aerial,2013_8_7,12
3,2013,8,7,HS,12,61.24488904,-150.2848729,15:19:43,0.6386921296,Aerial,2013_8_7,12
3,2013,8,7,HS,8,61.20105236,-150.7810027,13:45:22,0.5731712963,Aerial,2013_8_7,12
3,2013,8,7,HS,50,60.6593247,-151.992636,14:14:02,0.5930787037,Aerial,2013_8_7,12
3,2013,8,7,HS,20,60.63624279,-152.0429064,14:15:08,0.5938425926,Aerial,2013_8_7,12
3,2013,8,15,HS,6,61.28682344,-150.3333481,13:34:52,0.5658796296,Aerial,2013_8_15,13
3,2013,8,15,BW,4,61.26479214,-150.2927915,13:33:21,0.5648263889,Aerial,2013_8_15,13
3,2013,8,15,BW,4,61.26405924,-150.5563118,13:40:15,0.5696180556,Aerial,2013_8_15,13
3,2013,8,15,BW,7,61.26164863,-150.659172,13:43:03,0.5715625000,Aerial,2013_8_15,13
3,2013,8,15,BW,12,61.25802118,-150.2813839,13:32:25,0.5641782407,Aerial,2013_8_15,13
3,2013,8,15,BW,3,61.25124366,-150.5153906,13:39:03,0.5687847222,Aerial,2013_8_15,13
3,2013,8,15,BW,8,61.24923606,-150.7156024,13:46:05,0.5736689815,Aerial,2013_8_15,13
3,2013,8,15,BW,7,61.24571322,-150.7393587,13:46:44,0.5741203704,Aerial,2013_8_15,13
3,2013,8,15,HS,35,61.22092821,-150.7897704,13:50:59,0.5770717593,Aerial,2013_8_15,13
3,2013,8,15,HS,20,60.90425884,-151.6962365,14:12:22,0.5919212963,Aerial,2013_8_15,13
4,2013,8,23,BW,5,61.20646998,-150.8346716,13:27:57,0.5610763889,Aerial,2013_8_23,14
4,2013,8,23,BW,19,61.18240149,-150.8484213,13:29:58,0.5624768519,Aerial,2013_8_23,14
4,2013,9,5,BW,3,61.22015366,-150.7956267,10:44:23,0.4474884259,Aerial,2013_9_5,16
4,2013,9,13,HS,7,60.86429243,-151.7203552,14:01:23,0.5842939815,Aerial,2013_9_13,17
4,2013,9,20,BW,25,60.94403156,-150.1986814,11:24:20,0.4752314815,Aerial,2013_9_20,18
4,2013,9,20,BW,4,60.93941896,-149.9303348,11:36:15,0.4835069444,Aerial,2013_9_20,18
4,2013,9,23,BW,2,61.03475931,-151.1681153,12:46:32,0.5323148148,Aerial,2013_9_23,19
4,2013,9,23,BW,30,60.94820679,-150.1748492,13:41:50,0.5707175926,Aerial,2013_9_23,19
4,2013,9,30,HS,1,61.2402292,-150.6952637,13:33:30,0.5649305556,Aerial,2013_9_30,20
4,2013,9,30,HS,3,61.21534974,-150.8014217,13:35:25,0.5662615741,Aerial,2013_9_30,20
4,2013,9,30,BW,16,60.92378402,-150.06516,14:37:33,0.6094097222,Aerial,2013_9_30,20
4,2013,9,30,BW,45,60.91924984,-149.451861,15:52:44,0.6616203704,Aerial,2013_9_30,20
5,2013,10,10,BW,12,60.92696315,-149.3664344,13:21:41,0.5567245370,Aerial,2013_10_10,21
5,2013,10,10,BW,20,60.90106017,-149.392137,13:31:27,0.5635069444,Aerial,2013_10_10,21
5,2013,10,14,HS,16,60.8956015,-151.6486376,11:05:52,0.4624074074,Aerial,2013_10_14,22
5,2013,10,22,BW,2,60.96562637,-150.2850029,12:46:21,0.5321875000,Aerial,2013_10_22,23
5,2013,10,22,BW,40,60.96088901,-150.2715109,12:42:46,0.5296990741,Aerial,2013_10_22,23
5,2013,10,22,BW,10,60.94975071,-149.9836027,12:54:04,0.5375462963,Aerial,2013_10_22,23
5,2013,10,22,BW,7,60.94870997,-150.2268698,12:48:21,0.5335763889,Aerial,2013_10_22,23
1,2014,4,4,BW,3,61.19590596,-150.930402,13:10:14,0.5487731481,Aerial,2014_4_4,25
1,2014,4,4,BW,5,60.93430527,-151.5910388,13:29:36,0.5622222222,Aerial,2014_4_4,25
1,2014,4,6,BW,3,61.25716406,-150.5342156,12:58:41,0.5407523148,Aerial,2014_4_6,27
1,2014,4,6,BW,1,61.097755,-151.1073875,13:25:00,0.5590277778,Aerial,2014_4_6,27
1,2014,4,6,BW,4,60.90234524,-151.723363,13:41:22,0.5703935185,Aerial,2014_4_6,27
